name,display_name,data_type,chart_type
"Exports, All, USD","Exports, All, USD",r,line
"Exports, Tech, total, USD","Exports, Tech, total, USD",r,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD","Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD",r,line
"Exports, Telecommunications equipment SITC 76, USD","Exports, Telecommunications equipment SITC 76, USD",r,line
"Exports, Electrical machinery SITC 77, USD","Exports, Electrical machinery SITC 77, USD",r,line
"Exports, Semiconductors HS 776, USD","Exports, Semiconductors HS 776, USD",r,line
"Exports, Semiconductor manufacturing equipment HS 848620, USD","Exports, Semiconductor manufacturing equipment HS 848620, USD",r,line
"Exports, Non-tech exports, total, USD","Exports, Non-tech exports, total, USD",r,line
"Exports, EU, USD","Exports, EU, USD",r,line
"Exports, DM excl Japan, USD","Exports, DM excl Japan, USD",r,line
"Exports, China and Hong Kong, USD","Exports, China and Hong Kong, USD",r,line
"Exports, North Asia, USD","Exports, North Asia, USD",r,line
"Exports, US, USD","Exports, US, USD",r,line
"Exports, ASEAN, USD","Exports, ASEAN, USD",r,line
"Exports, EM, USD","Exports, EM, USD",r,line
"Imports, All, USD","Imports, All, USD",r,line
"Imports, Fuels, USD","Imports, Fuels, USD",r,line
"Imports, Capital goods, incl parts, USD","Imports, Capital goods, incl parts, USD",r,line
"Imports, Capital goods, USD","Imports, Capital goods, USD",r,line
"Imports, Capital goods, parts, USD","Imports, Capital goods, parts, USD",r,line
"Imports, Semi mfg equipment, USD","Imports, Semi mfg equipment, USD",r,line
"Exports, All, LCU","Exports, All, LCU",r,line
"Exports, Tech, total, LCU","Exports, Tech, total, LCU",r,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU","Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU",r,line
"Exports, Telecommunications equipment SITC 76, LCU","Exports, Telecommunications equipment SITC 76, LCU",r,line
"Exports, Electrical machinery SITC 77, LCU","Exports, Electrical machinery SITC 77, LCU",r,line
"Exports, Semiconductors HS 776, LCU","Exports, Semiconductors HS 776, LCU",r,line
"Exports, Semiconductor manufacturing equipment HS 848620, LCU","Exports, Semiconductor manufacturing equipment HS 848620, LCU",r,line
"Exports, Non-tech exports, total, LCU","Exports, Non-tech exports, total, LCU",r,line
"Exports, EU, LCU","Exports, EU, LCU",r,line
"Exports, DM excl Japan, LCU","Exports, DM excl Japan, LCU",r,line
"Exports, China and Hong Kong, LCU","Exports, China and Hong Kong, LCU",r,line
"Exports, North Asia, LCU","Exports, North Asia, LCU",r,line
"Exports, US, LCU","Exports, US, LCU",r,line
"Exports, ASEAN, LCU","Exports, ASEAN, LCU",r,line
"Exports, EM, LCU","Exports, EM, LCU",r,line
"Imports, All, LCU","Imports, All, LCU",r,line
"Imports, Fuels, LCU","Imports, Fuels, LCU",r,line
"Imports, Capital goods, incl parts, LCU","Imports, Capital goods, incl parts, LCU",r,line
"Imports, Capital goods, LCU","Imports, Capital goods, LCU",r,line
"Imports, Capital goods, parts, LCU","Imports, Capital goods, parts, LCU",r,line
"Imports, Semi mfg equipment, LCU","Imports, Semi mfg equipment, LCU",r,line
"Exports, All, Work day adjusted, USD","Exports, All, Work day adjusted, USD",r,line
"Exports, All, USD, % YoY","Exports, All, USD, % YoY",p,line
"Exports, Tech, total, USD, % YoY","Exports, Tech, total, USD, % YoY",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % YoY","Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % YoY",p,line
"Exports, Telecommunications equipment SITC 76, USD, % YoY","Exports, Telecommunications equipment SITC 76, USD, % YoY",p,line
"Exports, Electrical machinery SITC 77, USD, % YoY","Exports, Electrical machinery SITC 77, USD, % YoY",p,line
"Exports, Semiconductors HS 776, USD, % YoY","Exports, Semiconductors HS 776, USD, % YoY",p,line
"Exports, Semiconductor manufacturing equipment HS 848620, USD, % YoY","Exports, Semiconductor manufacturing equipment HS 848620, USD, % YoY",p,line
"Exports, Non-tech exports, total, USD, % YoY","Exports, Non-tech exports, total, USD, % YoY",p,line
"Exports, EU, USD, % YoY","Exports, EU, USD, % YoY",p,line
"Exports, DM excl Japan, USD, % YoY","Exports, DM excl Japan, USD, % YoY",p,line
"Exports, China and Hong Kong, USD, % YoY","Exports, China and Hong Kong, USD, % YoY",p,line
"Exports, North Asia, USD, % YoY","Exports, North Asia, USD, % YoY",p,line
"Exports, US, USD, % YoY","Exports, US, USD, % YoY",p,line
"Exports, ASEAN, USD, % YoY","Exports, ASEAN, USD, % YoY",p,line
"Exports, EM, USD, % YoY","Exports, EM, USD, % YoY",p,line
"Imports, All, USD, % YoY","Imports, All, USD, % YoY",p,line
"Imports, Fuels, USD, % YoY","Imports, Fuels, USD, % YoY",p,line
"Imports, Capital goods, incl parts, USD, % YoY","Imports, Capital goods, incl parts, USD, % YoY",p,line
"Imports, Capital goods, USD, % YoY","Imports, Capital goods, USD, % YoY",p,line
"Imports, Capital goods, parts, USD, % YoY","Imports, Capital goods, parts, USD, % YoY",p,line
"Imports, Semi mfg equipment, USD, % YoY","Imports, Semi mfg equipment, USD, % YoY",p,line
"Exports, All, LCU, % YoY","Exports, All, LCU, % YoY",p,line
"Exports, Tech, total, LCU, % YoY","Exports, Tech, total, LCU, % YoY",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU, % YoY","Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU, % YoY",p,line
"Exports, Telecommunications equipment SITC 76, LCU, % YoY","Exports, Telecommunications equipment SITC 76, LCU, % YoY",p,line
"Exports, Electrical machinery SITC 77, LCU, % YoY","Exports, Electrical machinery SITC 77, LCU, % YoY",p,line
"Exports, Semiconductors HS 776, LCU, % YoY","Exports, Semiconductors HS 776, LCU, % YoY",p,line
"Exports, Semiconductor manufacturing equipment HS 848620, LCU, % YoY","Exports, Semiconductor manufacturing equipment HS 848620, LCU, % YoY",p,line
"Exports, Non-tech exports, total, LCU, % YoY","Exports, Non-tech exports, total, LCU, % YoY",p,line
"Exports, EU, LCU, % YoY","Exports, EU, LCU, % YoY",p,line
"Exports, DM excl Japan, LCU, % YoY","Exports, DM excl Japan, LCU, % YoY",p,line
"Exports, China and Hong Kong, LCU, % YoY","Exports, China and Hong Kong, LCU, % YoY",p,line
"Exports, North Asia, LCU, % YoY","Exports, North Asia, LCU, % YoY",p,line
"Exports, US, LCU, % YoY","Exports, US, LCU, % YoY",p,line
"Exports, ASEAN, LCU, % YoY","Exports, ASEAN, LCU, % YoY",p,line
"Exports, EM, LCU, % YoY","Exports, EM, LCU, % YoY",p,line
"Imports, All, LCU, % YoY","Imports, All, LCU, % YoY",p,line
"Imports, Fuels, LCU, % YoY","Imports, Fuels, LCU, % YoY",p,line
"Imports, Capital goods, incl parts, LCU, % YoY","Imports, Capital goods, incl parts, LCU, % YoY",p,line
"Imports, Capital goods, LCU, % YoY","Imports, Capital goods, LCU, % YoY",p,line
"Imports, Capital goods, parts, LCU, % YoY","Imports, Capital goods, parts, LCU, % YoY",p,line
"Imports, Semi mfg equipment, LCU, % YoY","Imports, Semi mfg equipment, LCU, % YoY",p,line
"Exports, All, USD, % YoY, 3mma","Exports, All, USD, % YoY, 3mma",p,line
"Exports, Tech, total, USD, % YoY, 3mma","Exports, Tech, total, USD, % YoY, 3mma",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % YoY, 3mma","Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % YoY, 3mma",p,line
"Exports, Telecommunications equipment SITC 76, USD, % YoY, 3mma","Exports, Telecommunications equipment SITC 76, USD, % YoY, 3mma",p,line
"Exports, Electrical machinery SITC 77, USD, % YoY, 3mma","Exports, Electrical machinery SITC 77, USD, % YoY, 3mma",p,line
"Exports, Semiconductors HS 776, USD, % YoY, 3mma","Exports, Semiconductors HS 776, USD, % YoY, 3mma",p,line
"Exports, Semiconductor manufacturing equipment HS 848620, USD, % YoY, 3mma","Exports, Semiconductor manufacturing equipment HS 848620, USD, % YoY, 3mma",p,line
"Exports, Non-tech exports, total, USD, % YoY, 3mma","Exports, Non-tech exports, total, USD, % YoY, 3mma",p,line
"Exports, EU, USD, % YoY, 3mma","Exports, EU, USD, % YoY, 3mma",p,line
"Exports, DM excl Japan, USD, % YoY, 3mma","Exports, DM excl Japan, USD, % YoY, 3mma",p,line
"Exports, China and Hong Kong, USD, % YoY, 3mma","Exports, China and Hong Kong, USD, % YoY, 3mma",p,line
"Exports, North Asia, USD, % YoY, 3mma","Exports, North Asia, USD, % YoY, 3mma",p,line
"Exports, US, USD, % YoY, 3mma","Exports, US, USD, % YoY, 3mma",p,line
"Exports, ASEAN, USD, % YoY, 3mma","Exports, ASEAN, USD, % YoY, 3mma",p,line
"Exports, EM, USD, % YoY, 3mma","Exports, EM, USD, % YoY, 3mma",p,line
"Imports, All, USD, % YoY, 3mma","Imports, All, USD, % YoY, 3mma",p,line
"Imports, Fuels, USD, % YoY, 3mma","Imports, Fuels, USD, % YoY, 3mma",p,line
"Imports, Capital goods, incl parts, USD, % YoY, 3mma","Imports, Capital goods, incl parts, USD, % YoY, 3mma",p,line
"Imports, Capital goods, USD, % YoY, 3mma","Imports, Capital goods, USD, % YoY, 3mma",p,line
"Imports, Capital goods, parts, USD, % YoY, 3mma","Imports, Capital goods, parts, USD, % YoY, 3mma",p,line
"Imports, Semi mfg equipment, USD, % YoY, 3mma","Imports, Semi mfg equipment, USD, % YoY, 3mma",p,line
"Exports, All, LCU, % YoY, 3mma","Exports, All, LCU, % YoY, 3mma",p,line
"Exports, Tech, total, LCU, % YoY, 3mma","Exports, Tech, total, LCU, % YoY, 3mma",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU, % YoY, 3mma","Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU, % YoY, 3mma",p,line
"Exports, Telecommunications equipment SITC 76, LCU, % YoY, 3mma","Exports, Telecommunications equipment SITC 76, LCU, % YoY, 3mma",p,line
"Exports, Electrical machinery SITC 77, LCU, % YoY, 3mma","Exports, Electrical machinery SITC 77, LCU, % YoY, 3mma",p,line
"Exports, Semiconductors HS 776, LCU, % YoY, 3mma","Exports, Semiconductors HS 776, LCU, % YoY, 3mma",p,line
"Exports, Semiconductor manufacturing equipment HS 848620, LCU, % YoY, 3mma","Exports, Semiconductor manufacturing equipment HS 848620, LCU, % YoY, 3mma",p,line
"Exports, Non-tech exports, total, LCU, % YoY, 3mma","Exports, Non-tech exports, total, LCU, % YoY, 3mma",p,line
"Exports, EU, LCU, % YoY, 3mma","Exports, EU, LCU, % YoY, 3mma",p,line
"Exports, DM excl Japan, LCU, % YoY, 3mma","Exports, DM excl Japan, LCU, % YoY, 3mma",p,line
"Exports, China and Hong Kong, LCU, % YoY, 3mma","Exports, China and Hong Kong, LCU, % YoY, 3mma",p,line
"Exports, North Asia, LCU, % YoY, 3mma","Exports, North Asia, LCU, % YoY, 3mma",p,line
"Exports, US, LCU, % YoY, 3mma","Exports, US, LCU, % YoY, 3mma",p,line
"Exports, ASEAN, LCU, % YoY, 3mma","Exports, ASEAN, LCU, % YoY, 3mma",p,line
"Exports, EM, LCU, % YoY, 3mma","Exports, EM, LCU, % YoY, 3mma",p,line
"Imports, All, LCU, % YoY, 3mma","Imports, All, LCU, % YoY, 3mma",p,line
"Imports, Fuels, LCU, % YoY, 3mma","Imports, Fuels, LCU, % YoY, 3mma",p,line
"Imports, Capital goods, incl parts, LCU, % YoY, 3mma","Imports, Capital goods, incl parts, LCU, % YoY, 3mma",p,line
"Imports, Capital goods, LCU, % YoY, 3mma","Imports, Capital goods, LCU, % YoY, 3mma",p,line
"Imports, Capital goods, parts, LCU, % YoY, 3mma","Imports, Capital goods, parts, LCU, % YoY, 3mma",p,line
"Imports, Semi mfg equipment, LCU, % YoY, 3mma","Imports, Semi mfg equipment, LCU, % YoY, 3mma",p,line
"Exports, All, USD, SA","Exports, All, USD, SA",r,line
"Exports, Tech, total, USD, SA","Exports, Tech, total, USD, SA",r,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, SA","Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, SA",r,line
"Exports, Telecommunications equipment SITC 76, USD, SA","Exports, Telecommunications equipment SITC 76, USD, SA",r,line
"Exports, Electrical machinery SITC 77, USD, SA","Exports, Electrical machinery SITC 77, USD, SA",r,line
"Exports, Semiconductors HS 776, USD, SA","Exports, Semiconductors HS 776, USD, SA",r,line
"Exports, Semiconductor manufacturing equipment HS 848620, USD, SA","Exports, Semiconductor manufacturing equipment HS 848620, USD, SA",r,line
"Exports, Non-tech exports, total, USD, SA","Exports, Non-tech exports, total, USD, SA",r,line
"Exports, EU, USD, SA","Exports, EU, USD, SA",r,line
"Exports, DM excl Japan, USD, SA","Exports, DM excl Japan, USD, SA",r,line
"Exports, China and Hong Kong, USD, SA","Exports, China and Hong Kong, USD, SA",r,line
"Exports, North Asia, USD, SA","Exports, North Asia, USD, SA",r,line
"Exports, US, USD, SA","Exports, US, USD, SA",r,line
"Exports, ASEAN, USD, SA","Exports, ASEAN, USD, SA",r,line
"Exports, EM, USD, SA","Exports, EM, USD, SA",r,line
"Imports, All, USD, SA","Imports, All, USD, SA",r,line
"Imports, Fuels, USD, SA","Imports, Fuels, USD, SA",r,line
"Imports, Capital goods, incl parts, USD, SA","Imports, Capital goods, incl parts, USD, SA",r,line
"Imports, Capital goods, USD, SA","Imports, Capital goods, USD, SA",r,line
"Imports, Capital goods, parts, USD, SA","Imports, Capital goods, parts, USD, SA",r,line
"Imports, Semi mfg equipment, USD, SA","Imports, Semi mfg equipment, USD, SA",r,line
"Exports, All, LCU, SA","Exports, All, LCU, SA",r,line
"Exports, Tech, total, LCU, SA","Exports, Tech, total, LCU, SA",r,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU, SA","Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU, SA",r,line
"Exports, Telecommunications equipment SITC 76, LCU, SA","Exports, Telecommunications equipment SITC 76, LCU, SA",r,line
"Exports, Electrical machinery SITC 77, LCU, SA","Exports, Electrical machinery SITC 77, LCU, SA",r,line
"Exports, Semiconductors HS 776, LCU, SA","Exports, Semiconductors HS 776, LCU, SA",r,line
"Exports, Semiconductor manufacturing equipment HS 848620, LCU, SA","Exports, Semiconductor manufacturing equipment HS 848620, LCU, SA",r,line
"Exports, Non-tech exports, total, LCU, SA","Exports, Non-tech exports, total, LCU, SA",r,line
"Exports, EU, LCU, SA","Exports, EU, LCU, SA",r,line
"Exports, DM excl Japan, LCU, SA","Exports, DM excl Japan, LCU, SA",r,line
"Exports, China and Hong Kong, LCU, SA","Exports, China and Hong Kong, LCU, SA",r,line
"Exports, North Asia, LCU, SA","Exports, North Asia, LCU, SA",r,line
"Exports, US, LCU, SA","Exports, US, LCU, SA",r,line
"Exports, ASEAN, LCU, SA","Exports, ASEAN, LCU, SA",r,line
"Exports, EM, LCU, SA","Exports, EM, LCU, SA",r,line
"Imports, All, LCU, SA","Imports, All, LCU, SA",r,line
"Imports, Fuels, LCU, SA","Imports, Fuels, LCU, SA",r,line
"Imports, Capital goods, incl parts, LCU, SA","Imports, Capital goods, incl parts, LCU, SA",r,line
"Imports, Capital goods, LCU, SA","Imports, Capital goods, LCU, SA",r,line
"Imports, Capital goods, parts, LCU, SA","Imports, Capital goods, parts, LCU, SA",r,line
"Imports, Semi mfg equipment, LCU, SA","Imports, Semi mfg equipment, LCU, SA",r,line
"Exports, All, Work day adjusted, USD, SA","Exports, All, Work day adjusted, USD, SA",r,line
"Exports, DM excl Japan, SA, % of total","Exports, DM excl Japan, SA, % of total",p,line
"Exports, North Asia, SA, % of total","Exports, North Asia, SA, % of total",p,line
"Exports, US, SA, % of total","Exports, US, SA, % of total",p,line
"Exports, ASEAN, SA, % of total","Exports, ASEAN, SA, % of total",p,line
"Exports, EM, SA, % of total","Exports, EM, SA, % of total",p,line
"Exports, EU, SA, % of total","Exports, EU, SA, % of total",p,line
"Exports, China and Hong Kong, SA, % of total","Exports, China and Hong Kong, SA, % of total",p,line
"Semiconductor exports, % of total exports","Semiconductor exports, % of total exports",p,line
"Exports, All, USD, SA, 3mma","Exports, All, USD, SA, 3mma",p,line
"Exports, All, USD, % MoM, SA","Exports, All, USD, % MoM, SA",p,line
"Exports, Tech, total, USD, % MoM, SA","Exports, Tech, total, USD, % MoM, SA",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % MoM, SA","Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % MoM, SA",p,line
"Exports, Telecommunications equipment SITC 76, USD, % MoM, SA","Exports, Telecommunications equipment SITC 76, USD, % MoM, SA",p,line
"Exports, Electrical machinery SITC 77, USD, % MoM, SA","Exports, Electrical machinery SITC 77, USD, % MoM, SA",p,line
"Exports, Semiconductors HS 776, USD, % MoM, SA","Exports, Semiconductors HS 776, USD, % MoM, SA",p,line
"Exports, Semiconductor manufacturing equipment HS 848620, USD, % MoM, SA","Exports, Semiconductor manufacturing equipment HS 848620, USD, % MoM, SA",p,line
"Exports, Non-tech exports, total, USD, % MoM, SA","Exports, Non-tech exports, total, USD, % MoM, SA",p,line
"Exports, EU, USD, % MoM, SA","Exports, EU, USD, % MoM, SA",p,line
"Exports, DM excl Japan, USD, % MoM, SA","Exports, DM excl Japan, USD, % MoM, SA",p,line
"Exports, China and Hong Kong, USD, % MoM, SA","Exports, China and Hong Kong, USD, % MoM, SA",p,line
"Exports, North Asia, USD, % MoM, SA","Exports, North Asia, USD, % MoM, SA",p,line
"Exports, US, USD, % MoM, SA","Exports, US, USD, % MoM, SA",p,line
"Exports, ASEAN, USD, % MoM, SA","Exports, ASEAN, USD, % MoM, SA",p,line
"Exports, EM, USD, % MoM, SA","Exports, EM, USD, % MoM, SA",p,line
